"Lodobren","Vznamka","Scrna_lista","Sst_odobritev","Dcrna_lista","Dst_pogodb","Vletnik","Vmpc","Veurotax","Lpolog","Lobrestna_mera","Splacilni_indeks","Szapadlo_neplacano","Sobligo","Ltrajanje_meseci","Sneto_placa","Srazpolozljiv_od_z_malico_in_prevozom","Sstarost","Strajanje_zaposlitve","Sposta","Sdrzavljanstvo","Sdrzavljanstvo_eu","SDtip","SDst_zaposlenih","SDdoba_poslovanja","SDprihodki","SDodstotek_kapitala_v_bilancni_vsoti","SDposlovni_izid","SDblokada_racuna","SDinsolventnost","SDcrna_lista"
"NE","CITROEN","NE",0,"NE",9,3,11000,-2.95,63.64,7.59,NA,NA,4275,36,462.05,328.9,60,"UPOKOJENEC","SI-3","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","VOLKSWAGEN","NE",0,"NE",91,4,11200,33.32,20.09,3.49,0,0,8950,60,866.85,406.72,36,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",130.1,26,34164594,71.42,1548882,"NE","NE","NE"
"NE","MERCEDES-BENZ","NE",0,"NE",532,1,33000,-15.87,21.12,8.84,5.75,0,26495.6,84,661.72,48.01,38,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",17.21,8,2491344,12.08,34485,"NE","NE","DA"
"DA","DACIA","NE",0,"NE",31,1,12450,-8.32,35,7.09,NA,NA,10843.56,84,1295.38,947.78,54,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","RENAULT","NE",0,"NE",394,8,4800,25.6,22.92,9.34,NA,NA,3700,36,1248.21,1872.73,42,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",3.71,12,284789,91.68,657,"NE","NE","NE"
"NE","MAZDA","NE",0,"NE",1574,6,8500,0,20,11.58,NA,NA,6800,60,809.54,526.77,41,"NEDOLOCEN CAS","SI-5","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",8.8,20,356373,68.86,7137,"NE","NE","NE"
"NE","KIA","NE",0,"NE",7545,7,6350,2.94,11.02,7.59,NA,NA,5872.25,72,989.28,775.12,62,"UPOKOJENEC","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","OPEL","NE",0,"NE",586,10,3500,1.57,28.57,7.59,NA,NA,2749.8,12,512.89,283.74,69,"UPOKOJENEC","SI-4","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","FORD","NE",0,"DA",7873,8,7200,-3.65,44.83,11.33,NA,NA,3972,24,798.73,418.19,53,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","DACIA","NE",0,"NE",492,6,4000,9.18,20,10.33,NA,NA,3200,36,726.95,623.19,72,"UPOKOJENEC","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
